customer_id,recency,prior_spend_band,prior_spend_usd,mens,womens,geography,newbie,channel,visited,converted,spend_usd,treatment
MKT-109454,12,1) $0 - $100,52.89,1,0,Urban,1,Web,0,0,0.0,1
MKT-112340,11,1) $0 - $100,29.99,0,1,Urban,0,Web,0,0,0.0,0
MKT-120189,7,3) $200 - $350,346.6,0,1,Surburban,1,Web,0,0,0.0,1
MKT-114581,1,5) $500 - $750,575.66,1,1,Urban,1,Multichannel,0,0,0.0,1
MKT-106919,1,2) $100 - $200,170.93,0,1,Rural,1,Web,0,0,0.0,1
MKT-102397,3,4) $350 - $500,498.59,0,1,Urban,0,Multichannel,0,0,0.0,0
MKT-102407,10,1) $0 - $100,46.25,0,1,Urban,0,Phone,0,0,0.0,0
MKT-114292,7,2) $100 - $200,176.02,1,0,Urban,1,Web,0,0,0.0,0
MKT-100137,4,2) $100 - $200,111.26,0,1,Urban,1,Phone,0,0,0.0,1
MKT-115044,4,3) $200 - $350,328.87,0,1,Urban,1,Phone,0,0,0.0,0
MKT-107326,5,2) $100 - $200,101.37,0,1,Urban,0,Phone,1,0,0.0,1
MKT-120683,2,1) $0 - $100,91.85,1,0,Surburban,0,Phone,0,0,0.0,1
MKT-116582,10,2) $100 - $200,112.52,1,0,Urban,1,Phone,0,0,0.0,1
MKT-106204,10,1) $0 - $100,98.82,1,0,Surburban,1,Web,0,0,0.0,0
MKT-110563,8,1) $0 - $100,49.97,1,0,Surburban,0,Web,0,0,0.0,0
MKT-123711,10,2) $100 - $200,103.67,1,0,Rural,1,Phone,0,0,0.0,0
MKT-106638,7,2) $100 - $200,118.28,0,1,Urban,1,Web,0,0,0.0,0
MKT-118567,11,1) $0 - $100,65.62,1,0,Surburban,0,Phone,0,0,0.0,1
MKT-103547,7,1) $0 - $100,41.14,1,0,Surburban,0,Web,0,0,0.0,0
MKT-112547,11,2) $100 - $200,174.25,0,1,Rural,1,Web,1,0,0.0,1
MKT-101357,12,2) $100 - $200,185.89,0,1,Surburban,0,Phone,0,0,0.0,0
MKT-112517,8,1) $0 - $100,36.5,0,1,Urban,0,Phone,0,0,0.0,0
MKT-107329,2,1) $0 - $100,83.38,0,1,Urban,1,Web,0,0,0.0,1
MKT-110475,1,1) $0 - $100,99.08,0,1,Urban,0,Web,0,0,0.0,0
MKT-107572,2,1) $0 - $100,29.99,1,0,Urban,1,Phone,0,0,0.0,1
MKT-116725,11,1) $0 - $100,65.09,1,0,Urban,0,Phone,0,0,0.0,0
MKT-116455,3,"6) $750 - $1,000",842.86,1,1,Urban,1,Web,1,0,0.0,1
MKT-100367,4,4) $350 - $500,483.93,1,1,Rural,0,Web,0,0,0.0,1
MKT-111938,10,2) $100 - $200,176.18,0,1,Urban,0,Phone,1,0,0.0,1
MKT-120409,12,1) $0 - $100,77.93,0,1,Surburban,0,Phone,0,0,0.0,0
MKT-102824,2,2) $100 - $200,169.99,1,0,Surburban,0,Web,0,0,0.0,0
MKT-104846,4,1) $0 - $100,52.95,0,1,Surburban,1,Web,1,0,0.0,0
MKT-105479,2,1) $0 - $100,29.99,0,1,Rural,1,Web,1,0,0.0,0
MKT-115679,4,3) $200 - $350,204.84,1,0,Surburban,1,Web,0,0,0.0,1
MKT-110391,7,1) $0 - $100,70.74,1,0,Surburban,0,Web,1,0,0.0,0
MKT-103517,7,5) $500 - $750,717.35,1,1,Surburban,1,Web,0,0,0.0,1
MKT-122137,8,2) $100 - $200,175.94,0,1,Surburban,0,Web,0,0,0.0,1
MKT-119793,6,3) $200 - $350,294.47,1,1,Urban,1,Web,0,0,0.0,1
MKT-110768,9,1) $0 - $100,29.99,1,0,Surburban,0,Phone,0,0,0.0,0
MKT-101649,8,2) $100 - $200,117.51,1,0,Surburban,0,Web,0,0,0.0,0
MKT-110183,10,4) $350 - $500,407.1,0,1,Urban,1,Multichannel,0,0,0.0,0
MKT-100808,2,3) $200 - $350,299.0,0,1,Urban,0,Phone,0,0,0.0,0
MKT-119389,1,"6) $750 - $1,000",798.68,1,0,Surburban,1,Phone,0,0,0.0,0
MKT-115531,6,"7) $1,000 +",1190.08,1,1,Urban,1,Phone,0,0,0.0,0
MKT-113815,1,1) $0 - $100,76.05,1,0,Surburban,1,Phone,0,0,0.0,1
MKT-103113,9,1) $0 - $100,29.99,1,0,Rural,0,Phone,0,0,0.0,1
MKT-117705,10,2) $100 - $200,172.79,0,1,Surburban,1,Web,0,0,0.0,0
MKT-105866,1,"7) $1,000 +",1306.54,1,0,Surburban,1,Multichannel,1,0,0.0,1
MKT-111667,6,3) $200 - $350,281.05,0,1,Surburban,1,Web,0,0,0.0,1
MKT-118340,1,3) $200 - $350,217.47,0,1,Rural,0,Multichannel,0,0,0.0,1
MKT-116007,11,1) $0 - $100,29.99,1,0,Surburban,1,Phone,0,0,0.0,1
MKT-122595,9,3) $200 - $350,242.66,0,1,Rural,1,Phone,1,0,0.0,0
MKT-100805,3,1) $0 - $100,78.08,0,1,Urban,0,Web,0,0,0.0,1
MKT-107564,10,3) $200 - $350,214.63,1,0,Rural,1,Web,0,0,0.0,1
MKT-120611,11,"6) $750 - $1,000",804.05,1,0,Rural,1,Multichannel,1,0,0.0,0
MKT-114891,10,1) $0 - $100,29.99,1,0,Surburban,1,Web,0,0,0.0,1
MKT-121707,2,5) $500 - $750,601.92,0,1,Surburban,1,Multichannel,0,0,0.0,1
MKT-109055,12,3) $200 - $350,324.32,1,0,Urban,0,Web,0,0,0.0,1
MKT-108020,10,1) $0 - $100,47.47,0,1,Surburban,0,Phone,0,0,0.0,1
MKT-108770,9,1) $0 - $100,80.54,1,0,Surburban,1,Web,0,0,0.0,0
MKT-102111,1,3) $200 - $350,305.03,1,0,Surburban,1,Phone,0,0,0.0,0
MKT-111417,2,"7) $1,000 +",1264.9,1,0,Urban,1,Phone,0,0,0.0,0
MKT-114747,4,1) $0 - $100,29.99,0,1,Urban,1,Web,0,0,0.0,1
MKT-112285,1,1) $0 - $100,66.75,1,0,Surburban,0,Web,0,0,0.0,1
MKT-120320,2,5) $500 - $750,565.33,0,1,Urban,1,Phone,0,0,0.0,0
MKT-121535,7,3) $200 - $350,205.96,1,0,Urban,0,Phone,0,0,0.0,1
MKT-106016,1,1) $0 - $100,75.7,0,1,Urban,1,Phone,0,0,0.0,1
MKT-113737,8,1) $0 - $100,80.99,1,0,Surburban,0,Phone,0,0,0.0,1
MKT-121519,2,5) $500 - $750,549.34,0,1,Surburban,1,Web,0,0,0.0,0
MKT-123675,10,1) $0 - $100,29.99,1,0,Urban,0,Phone,0,0,0.0,1
MKT-120392,4,1) $0 - $100,55.52,0,1,Rural,1,Phone,0,0,0.0,1
MKT-118958,9,3) $200 - $350,226.8,0,1,Surburban,0,Multichannel,0,0,0.0,1
MKT-115137,10,1) $0 - $100,68.42,0,1,Rural,1,Web,0,0,0.0,0
MKT-114560,2,1) $0 - $100,77.45,0,1,Surburban,0,Phone,0,0,0.0,0
MKT-120455,3,2) $100 - $200,160.84,0,1,Surburban,1,Web,0,0,0.0,1
MKT-122877,8,3) $200 - $350,213.06,0,1,Urban,0,Multichannel,0,0,0.0,0
MKT-123289,4,1) $0 - $100,92.92,1,0,Surburban,1,Phone,0,0,0.0,1
MKT-101921,2,5) $500 - $750,620.36,0,1,Surburban,1,Web,0,0,0.0,1
MKT-100349,1,4) $350 - $500,472.87,1,0,Urban,0,Web,0,0,0.0,1
MKT-110926,2,"7) $1,000 +",1312.34,1,0,Surburban,1,Web,0,0,0.0,1
MKT-116572,2,5) $500 - $750,719.66,1,1,Urban,1,Phone,0,0,0.0,1
MKT-118242,1,1) $0 - $100,29.99,1,0,Urban,1,Web,0,0,0.0,1
MKT-108299,10,1) $0 - $100,82.81,0,1,Urban,0,Web,0,0,0.0,0
MKT-119997,3,2) $100 - $200,108.8,1,0,Urban,1,Phone,0,0,0.0,0
MKT-120816,10,1) $0 - $100,29.99,1,0,Surburban,0,Phone,0,0,0.0,0
MKT-123832,5,2) $100 - $200,183.03,0,1,Surburban,0,Web,0,0,0.0,1
MKT-107919,2,3) $200 - $350,349.92,0,1,Surburban,0,Phone,0,0,0.0,1
MKT-101005,5,4) $350 - $500,497.17,1,1,Surburban,1,Multichannel,1,0,0.0,1
MKT-115851,2,4) $350 - $500,479.65,1,0,Rural,1,Web,1,0,0.0,1
MKT-105574,1,4) $350 - $500,463.92,1,1,Surburban,0,Phone,0,0,0.0,0
MKT-117057,11,1) $0 - $100,29.99,1,0,Surburban,0,Phone,0,0,0.0,0
MKT-106315,9,2) $100 - $200,133.3,1,0,Surburban,1,Phone,0,0,0.0,0
MKT-107191,7,1) $0 - $100,57.42,0,1,Surburban,0,Phone,0,0,0.0,0
MKT-114736,1,4) $350 - $500,401.44,1,1,Rural,0,Multichannel,0,0,0.0,1
MKT-110674,1,"7) $1,000 +",1816.16,0,1,Urban,1,Web,1,0,0.0,0
MKT-106589,1,2) $100 - $200,193.47,0,1,Urban,1,Phone,0,0,0.0,0
MKT-108237,1,2) $100 - $200,144.43,1,0,Surburban,1,Phone,0,0,0.0,1
MKT-120466,12,3) $200 - $350,326.3,1,0,Rural,0,Web,0,0,0.0,0
MKT-120264,7,2) $100 - $200,117.37,0,1,Surburban,1,Phone,0,0,0.0,0
MKT-106442,1,1) $0 - $100,97.05,1,0,Urban,0,Web,0,0,0.0,0
MKT-119102,3,4) $350 - $500,490.73,1,1,Urban,0,Web,0,0,0.0,0
MKT-100570,1,4) $350 - $500,490.84,1,0,Urban,0,Multichannel,1,0,0.0,0
MKT-122083,5,5) $500 - $750,587.12,1,1,Urban,1,Web,1,0,0.0,1
MKT-107828,8,2) $100 - $200,181.96,0,1,Surburban,0,Web,0,0,0.0,0
MKT-113842,3,4) $350 - $500,403.46,1,1,Surburban,0,Multichannel,0,0,0.0,0
MKT-114875,7,2) $100 - $200,177.41,0,1,Surburban,1,Phone,0,0,0.0,1
MKT-118438,1,1) $0 - $100,76.52,0,1,Surburban,1,Phone,0,0,0.0,1
MKT-120621,1,4) $350 - $500,385.9,0,1,Rural,0,Phone,0,0,0.0,0
MKT-106735,9,2) $100 - $200,141.04,0,1,Surburban,0,Phone,0,0,0.0,1
MKT-117959,11,1) $0 - $100,29.99,1,0,Rural,0,Phone,0,0,0.0,0
MKT-121633,6,1) $0 - $100,87.45,0,1,Surburban,0,Phone,1,0,0.0,1
MKT-123670,2,3) $200 - $350,286.38,0,1,Surburban,0,Phone,0,0,0.0,1
MKT-100779,5,3) $200 - $350,289.16,0,1,Surburban,1,Web,0,0,0.0,1
MKT-119759,9,1) $0 - $100,52.18,1,0,Urban,1,Web,1,0,0.0,1
MKT-105339,10,2) $100 - $200,128.86,1,0,Urban,1,Phone,0,0,0.0,0
MKT-100821,5,5) $500 - $750,560.76,0,1,Rural,1,Multichannel,1,0,0.0,1
MKT-117225,1,4) $350 - $500,448.26,1,1,Urban,0,Phone,0,0,0.0,0
MKT-106894,7,2) $100 - $200,118.39,0,1,Surburban,1,Phone,0,0,0.0,0
MKT-113038,12,1) $0 - $100,29.99,0,1,Urban,1,Phone,0,0,0.0,0
MKT-106809,8,1) $0 - $100,96.84,0,1,Urban,0,Web,0,0,0.0,0
MKT-108063,5,2) $100 - $200,141.31,0,1,Rural,0,Phone,0,0,0.0,0
MKT-118045,10,3) $200 - $350,309.98,0,1,Surburban,0,Web,0,0,0.0,1
MKT-106611,8,3) $200 - $350,249.56,1,0,Urban,0,Phone,0,0,0.0,1
MKT-124044,1,2) $100 - $200,168.57,0,1,Surburban,0,Phone,0,0,0.0,1
MKT-108107,12,3) $200 - $350,323.26,0,1,Surburban,0,Web,0,0,0.0,1
MKT-116504,1,1) $0 - $100,67.85,1,0,Surburban,1,Web,0,0,0.0,1
MKT-103481,4,5) $500 - $750,722.28,1,0,Surburban,1,Web,1,0,0.0,0
MKT-112219,4,3) $200 - $350,298.06,0,1,Surburban,0,Phone,1,0,0.0,1
MKT-117191,3,2) $100 - $200,182.7,0,1,Urban,0,Web,1,0,0.0,0
MKT-104898,8,1) $0 - $100,43.11,0,1,Urban,0,Phone,0,0,0.0,0
MKT-110786,10,1) $0 - $100,29.99,1,0,Urban,0,Web,0,0,0.0,0
MKT-105348,7,3) $200 - $350,231.77,1,0,Urban,0,Multichannel,0,0,0.0,0
MKT-105273,1,1) $0 - $100,72.63,0,1,Rural,0,Phone,0,0,0.0,0
MKT-104564,10,1) $0 - $100,75.49,1,0,Urban,1,Phone,0,0,0.0,1
MKT-102175,2,1) $0 - $100,29.99,1,0,Urban,0,Web,1,0,0.0,0
MKT-108907,6,1) $0 - $100,29.99,1,0,Surburban,1,Phone,0,0,0.0,1
MKT-118010,12,2) $100 - $200,159.86,1,0,Urban,1,Web,0,0,0.0,1
MKT-119863,4,2) $100 - $200,106.32,1,0,Surburban,0,Web,0,0,0.0,1
MKT-104268,3,2) $100 - $200,180.14,1,0,Surburban,0,Web,0,0,0.0,1
MKT-110115,5,3) $200 - $350,265.6,0,1,Surburban,0,Web,0,0,0.0,0
MKT-116632,1,2) $100 - $200,176.93,1,0,Rural,1,Phone,0,0,0.0,1
MKT-110060,2,5) $500 - $750,599.05,1,1,Urban,1,Multichannel,0,0,0.0,1
MKT-106767,1,3) $200 - $350,215.97,1,0,Surburban,0,Multichannel,1,0,0.0,0
MKT-116208,10,2) $100 - $200,180.95,1,0,Surburban,1,Web,0,0,0.0,1
MKT-119942,4,1) $0 - $100,34.86,1,0,Urban,0,Web,0,0,0.0,1
MKT-106725,5,4) $350 - $500,447.09,1,1,Urban,0,Multichannel,1,0,0.0,1
MKT-116179,10,3) $200 - $350,213.63,0,1,Surburban,1,Phone,0,0,0.0,1
MKT-120834,3,1) $0 - $100,86.24,1,0,Urban,0,Phone,0,0,0.0,0
MKT-109801,11,3) $200 - $350,201.64,0,1,Surburban,1,Phone,0,0,0.0,1
MKT-100379,12,1) $0 - $100,29.99,1,0,Surburban,1,Web,0,0,0.0,1
MKT-105827,10,1) $0 - $100,84.23,0,1,Surburban,1,Web,1,0,0.0,1
MKT-100458,3,3) $200 - $350,306.92,1,0,Urban,0,Web,0,0,0.0,0
MKT-107374,1,2) $100 - $200,131.05,0,1,Urban,1,Web,0,0,0.0,0
MKT-119187,1,2) $100 - $200,138.01,0,1,Surburban,0,Web,0,0,0.0,0
MKT-116723,10,2) $100 - $200,154.87,1,0,Urban,1,Phone,0,0,0.0,1
MKT-115355,2,1) $0 - $100,29.99,0,1,Urban,0,Web,0,0,0.0,0
MKT-106124,10,2) $100 - $200,148.39,0,1,Surburban,1,Web,0,0,0.0,0
MKT-100410,2,1) $0 - $100,44.5,0,1,Urban,1,Phone,0,0,0.0,1
MKT-106314,6,4) $350 - $500,379.89,0,1,Rural,1,Phone,0,0,0.0,0
MKT-103169,7,1) $0 - $100,29.99,0,1,Urban,0,Web,1,0,0.0,1
MKT-112348,8,4) $350 - $500,407.24,0,1,Urban,0,Multichannel,0,0,0.0,0
MKT-121717,9,2) $100 - $200,191.24,0,1,Urban,1,Phone,0,0,0.0,1
MKT-100278,2,5) $500 - $750,547.34,0,1,Surburban,1,Multichannel,0,0,0.0,0
MKT-108215,3,4) $350 - $500,445.81,0,1,Surburban,1,Web,1,0,0.0,1
MKT-115304,10,1) $0 - $100,29.99,0,1,Surburban,0,Web,0,0,0.0,1
MKT-121280,4,3) $200 - $350,278.17,1,1,Surburban,0,Web,1,0,0.0,0
MKT-123315,2,3) $200 - $350,292.92,0,1,Rural,1,Phone,0,0,0.0,1
MKT-114908,1,4) $350 - $500,388.57,1,0,Surburban,0,Web,0,0,0.0,1
MKT-104984,5,1) $0 - $100,49.33,1,0,Surburban,0,Phone,0,0,0.0,0
MKT-111968,9,2) $100 - $200,146.49,0,1,Rural,0,Web,0,0,0.0,0
MKT-109108,3,3) $200 - $350,206.26,1,1,Surburban,0,Phone,0,0,0.0,1
MKT-122405,5,4) $350 - $500,431.23,0,1,Urban,1,Phone,1,0,0.0,1
MKT-112964,1,4) $350 - $500,440.7,1,0,Rural,0,Web,0,0,0.0,0
MKT-103007,8,3) $200 - $350,346.1,1,1,Surburban,0,Web,0,0,0.0,0
MKT-109100,12,2) $100 - $200,116.72,1,0,Surburban,0,Web,1,0,0.0,0
MKT-123345,4,2) $100 - $200,120.72,0,1,Urban,1,Web,0,0,0.0,1
MKT-111809,10,4) $350 - $500,460.7,1,0,Urban,0,Multichannel,0,0,0.0,1
MKT-101230,1,2) $100 - $200,157.12,1,0,Rural,1,Web,1,0,0.0,1
MKT-116906,7,3) $200 - $350,318.89,1,1,Urban,0,Web,0,0,0.0,1
MKT-106241,8,1) $0 - $100,45.96,1,0,Rural,0,Phone,0,0,0.0,1
MKT-103765,1,4) $350 - $500,360.75,1,0,Surburban,1,Web,1,0,0.0,1
MKT-102242,2,1) $0 - $100,75.03,0,1,Urban,1,Web,0,0,0.0,1
MKT-119687,8,2) $100 - $200,148.27,0,1,Surburban,1,Web,0,0,0.0,0
MKT-106824,1,1) $0 - $100,29.99,0,1,Rural,1,Phone,0,0,0.0,0
