booking_id,hotel,canceled,lead_time,arrival_year,arrival_week,arrival_day,weekend_nights,weekday_nights,adults,children,babies,meal,country,market_segment,distribution_channel,repeated_guest,previous_cancellations,previous_completed_bookings,room_type,booking_changes,deposit_type,waitlist_days,customer_type,average_daily_rate,parking_spaces,special_requests,arrival_month
BOOK-181957,City Hotel,0,259,2016,53,28,1,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,131.43,0,2,12
BOOK-140007,Resort Hotel,0,8,2016,41,4,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,80.0,0,1,10
BOOK-174274,Resort Hotel,1,130,2017,26,27,0,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,152.0,0,1,6
BOOK-140529,City Hotel,0,18,2015,29,18,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,75.0,0,0,7
BOOK-112943,City Hotel,1,33,2017,25,19,1,1,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,2,No Deposit,0,Transient,150.0,0,1,6
BOOK-182493,Resort Hotel,1,87,2017,18,2,0,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,0,No Deposit,0,Transient,115.0,0,0,5
BOOK-123005,City Hotel,0,21,2017,17,28,1,2,2,2.0,0,BB,POL,Online TA,TA/TO,0,0,0,F,0,No Deposit,0,Transient,225.0,0,1,4
BOOK-137841,Resort Hotel,0,66,2016,53,31,1,1,1,1.0,0,BB,PRT,Direct,Direct,0,0,0,D,0,No Deposit,0,Transient-Party,175.5,0,1,12
BOOK-100324,City Hotel,1,275,2016,17,17,2,0,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,0,Transient,110.0,0,0,4
BOOK-134997,City Hotel,0,1,2017,8,24,0,1,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,88.0,0,0,2
BOOK-154385,Resort Hotel,0,327,2017,26,25,2,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,3,No Deposit,0,Transient,74.25,0,2,6
BOOK-138811,Resort Hotel,0,1,2015,49,1,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,1,No Deposit,0,Transient-Party,25.0,0,0,12
BOOK-149560,City Hotel,0,6,2017,20,14,2,1,1,0.0,0,BB,FIN,Groups,Corporate,0,0,0,A,0,No Deposit,0,Transient-Party,110.0,0,0,5
BOOK-184257,City Hotel,0,0,2015,33,13,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Contract,148.67,0,0,8
BOOK-192574,Resort Hotel,0,0,2016,7,8,1,0,2,0.0,0,BB,,Direct,Direct,0,0,0,E,0,No Deposit,0,Transient,65.0,0,0,2
BOOK-142622,City Hotel,1,71,2016,25,14,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,0,Transient,120.0,0,0,6
BOOK-207881,City Hotel,0,7,2017,9,2,0,2,2,0.0,0,FB,PRT,Complementary,Direct,1,0,5,G,1,No Deposit,0,Transient,0.0,0,3,3
BOOK-132551,City Hotel,0,65,2016,44,27,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,75.54,0,1,10
BOOK-183214,City Hotel,0,135,2015,49,5,2,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,1,No Deposit,0,Transient-Party,0.0,0,0,12
BOOK-151419,Resort Hotel,0,0,2015,39,25,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Group,80.1,0,0,9
BOOK-182623,City Hotel,1,111,2015,28,6,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,76.5,0,1,7
BOOK-160050,Resort Hotel,0,211,2016,20,14,1,1,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,85.0,0,0,5
BOOK-197537,City Hotel,0,155,2017,22,1,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,138.0,0,1,6
BOOK-152696,City Hotel,0,301,2016,31,30,1,1,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,115.0,0,1,7
BOOK-130297,City Hotel,1,16,2017,17,27,2,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,0,No Deposit,0,Transient,126.65,0,1,4
BOOK-118274,City Hotel,0,9,2016,26,20,1,2,2,0.0,0,HB,JPN,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,179.0,0,2,6
BOOK-132433,City Hotel,0,5,2017,12,22,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,0,No Deposit,0,Transient,108.0,1,1,3
BOOK-189474,City Hotel,0,142,2016,20,9,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,125.33,0,1,5
BOOK-151036,City Hotel,1,145,2016,26,21,0,2,2,0.0,0,BB,HKG,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,116.55,0,1,6
BOOK-202292,City Hotel,0,18,2016,34,15,1,2,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,191.0,0,0,8
BOOK-135147,City Hotel,0,276,2016,39,22,0,3,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,178,Transient-Party,58.17,0,0,9
BOOK-118281,City Hotel,0,46,2016,50,10,0,1,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,102.6,1,1,12
BOOK-179455,City Hotel,1,321,2015,36,3,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,1,1,0,A,0,No Deposit,0,Transient-Party,62.8,0,0,9
BOOK-203202,City Hotel,0,166,2017,22,30,0,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,92.17,0,1,5
BOOK-200248,City Hotel,0,74,2015,38,18,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,109.0,0,0,9
BOOK-154435,City Hotel,0,40,2017,16,21,2,3,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,190.0,0,2,4
BOOK-215559,City Hotel,0,84,2017,11,13,1,3,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,1,No Deposit,0,Transient,94.8,0,2,3
BOOK-103565,City Hotel,1,360,2015,42,12,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,0,Non Refund,0,Contract,62.0,0,0,10
BOOK-170448,City Hotel,0,211,2017,11,13,1,2,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,85.5,0,1,3
BOOK-143988,City Hotel,0,34,2016,16,11,1,3,2,0.0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,E,0,No Deposit,0,Transient,113.04,0,0,4
BOOK-109560,Resort Hotel,1,317,2017,25,24,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,68.47,0,1,6
BOOK-123203,City Hotel,1,107,2016,23,29,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,80.75,0,1,5
BOOK-175230,City Hotel,0,10,2017,4,22,2,1,1,0.0,0,BB,TUR,Offline TA/TO,TA/TO,0,0,0,A,1,No Deposit,0,Transient-Party,65.0,0,0,1
BOOK-210537,Resort Hotel,0,26,2016,8,17,0,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,54.0,1,1,2
BOOK-156762,City Hotel,0,3,2015,37,7,1,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,1,No Deposit,0,Contract,130.33,0,2,9
BOOK-154548,City Hotel,0,41,2017,20,16,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,A,0,No Deposit,0,Transient,95.0,0,0,5
BOOK-196847,City Hotel,0,7,2016,38,11,2,0,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,139.0,0,1,9
BOOK-217723,City Hotel,0,71,2016,14,31,1,3,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,90.95,0,1,3
BOOK-204920,City Hotel,0,141,2016,36,30,0,3,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,106.5,0,1,8
BOOK-143327,Resort Hotel,0,17,2015,46,8,2,5,2,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,1,No Deposit,0,Transient-Party,48.0,0,0,11
BOOK-210642,Resort Hotel,0,222,2015,38,14,1,1,2,0.0,0,HB,FRA,Groups,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,80.0,0,0,9
BOOK-141777,City Hotel,1,152,2016,24,10,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,132.9,0,0,6
BOOK-169585,City Hotel,0,52,2017,3,21,2,3,2,1.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,1,No Deposit,0,Transient,78.15,0,2,1
BOOK-162322,City Hotel,1,355,2015,41,7,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,0,Non Refund,0,Transient-Party,60.0,0,0,10
BOOK-218584,City Hotel,0,80,2016,50,9,0,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient,75.0,0,0,12
BOOK-197724,Resort Hotel,0,168,2016,6,6,2,5,2,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,E,0,No Deposit,0,Transient,36.86,0,1,2
BOOK-199657,City Hotel,0,80,2016,14,29,0,4,1,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,1,No Deposit,0,Transient-Party,72.25,0,0,3
BOOK-197498,Resort Hotel,0,61,2016,15,4,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,68.0,0,1,4
BOOK-177156,City Hotel,0,4,2016,39,19,1,0,2,0.0,0,SC,ESP,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient,85.0,0,0,9
BOOK-164286,City Hotel,0,6,2016,20,8,2,1,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,108.0,0,2,5
BOOK-170585,City Hotel,0,6,2017,20,14,2,1,1,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,0,No Deposit,0,Transient-Party,110.0,0,0,5
BOOK-135392,Resort Hotel,0,162,2016,51,17,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,37.8,0,2,12
BOOK-103360,City Hotel,0,14,2015,37,10,2,6,1,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,0,No Deposit,0,Transient,100.88,0,0,9
BOOK-154534,City Hotel,0,99,2016,30,18,1,3,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,141.75,0,2,7
BOOK-106141,Resort Hotel,0,2,2017,6,11,0,1,2,0.0,0,HB,CHN,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,80.0,0,2,2
BOOK-105115,City Hotel,0,23,2016,50,7,0,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,1,No Deposit,0,Transient,88.0,0,2,12
BOOK-153590,City Hotel,1,38,2017,2,14,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,0,Non Refund,0,Transient,75.0,0,0,1
BOOK-153643,City Hotel,1,85,2017,18,5,1,2,2,0.0,0,BB,TUR,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,135.0,0,0,5
BOOK-195815,City Hotel,1,166,2016,45,1,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,0,Transient,110.0,0,0,11
BOOK-201118,Resort Hotel,0,0,2015,39,23,0,1,2,0.0,0,BB,CHE,Direct,Direct,0,0,0,A,0,No Deposit,0,Transient,98.0,1,0,9
BOOK-192303,Resort Hotel,0,55,2016,39,19,1,1,2,0.0,0,BB,LUX,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,80.0,0,1,9
BOOK-151770,City Hotel,0,15,2015,53,29,0,2,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Contract,60.0,0,0,12
BOOK-123082,City Hotel,0,0,2016,20,10,0,1,3,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,F,0,No Deposit,0,Transient,153.15,0,0,5
BOOK-113555,City Hotel,1,9,2016,43,16,2,2,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,140.0,0,1,10
BOOK-178760,Resort Hotel,1,227,2017,21,25,2,3,2,0.0,1,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,0,Contract,50.85,0,0,5
BOOK-107307,City Hotel,1,32,2017,9,26,1,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,108.0,0,0,2
BOOK-137266,City Hotel,0,113,2017,11,18,2,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,91.8,0,0,3
BOOK-114168,City Hotel,1,128,2016,42,11,0,3,2,0.0,0,BB,RUS,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,118.8,0,1,10
BOOK-196387,Resort Hotel,0,52,2016,15,7,1,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,0,No Deposit,0,Transient,74.7,0,0,4
BOOK-193559,Resort Hotel,1,15,2017,16,22,2,5,2,2.0,0,BB,NOR,Online TA,TA/TO,0,0,0,G,0,No Deposit,0,Transient,165.71,0,0,4
BOOK-165913,City Hotel,1,18,2016,36,31,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,0,Transient,97.0,0,1,8
BOOK-102277,City Hotel,1,51,2017,25,20,0,2,3,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,E,0,No Deposit,0,Transient,200.0,0,1,6
BOOK-161058,City Hotel,1,68,2016,8,17,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,0,Non Refund,0,Transient,75.0,0,0,2
