customer_id,recency_days,purchase_frequency,monetary_value,product_diversity,units_purchased,active_days,country,average_basket_value,return_line_rate
SHOP-101798,22,2,287.59,25,239,2,United Kingdom,143.795,0.0
SHOP-102785,17,5,1521.87,77,936,5,United Kingdom,304.37399999999997,0.0
SHOP-102751,256,3,478.53000000000003,28,243,2,United Kingdom,159.51,0.03333333333333333
SHOP-101683,4,5,3927.34,190,3101,5,United Kingdom,785.4680000000001,0.009302325581395349
SHOP-100920,72,7,3704.87,36,1031,7,United Kingdom,529.2671428571429,0.02040816326530612
SHOP-102359,1,11,4481.18,288,2701,10,United Kingdom,407.38000000000005,0.007246376811594203
SHOP-100758,23,10,9401.28,323,4305,9,France,940.128,0.0367170626349892
SHOP-101534,7,19,17286.86,119,5788,17,United Kingdom,909.8347368421053,0.031007751937984496
SHOP-102607,43,5,2053.02,91,1047,5,United Kingdom,410.604,0.13970588235294118
SHOP-101916,6,12,5155.66,101,2706,12,United Kingdom,429.6383333333333,0.0
SHOP-100014,74,2,1117.9,3,211,2,United Kingdom,558.95,0.0
SHOP-101836,45,2,212.54,23,140,2,United Kingdom,106.27,0.0
SHOP-101087,59,2,384.81,24,474,2,Denmark,192.405,0.15151515151515152
SHOP-100471,52,3,743.11,75,994,3,United Kingdom,247.70333333333335,0.023809523809523808
SHOP-101107,92,5,716.2,10,390,5,United Kingdom,143.24,0.07692307692307693
SHOP-101119,108,4,763.64,3,844,4,United Kingdom,190.91,0.0
SHOP-100011,7,2,584.07,30,345,2,United Kingdom,292.03499999999997,0.0
SHOP-100557,34,3,1132.13,141,546,3,United Kingdom,377.3766666666667,0.0
SHOP-101490,96,5,3723.87,102,820,5,Spain,744.774,0.0
SHOP-102284,60,4,2404.17,172,1631,4,United Kingdom,601.0425,0.0
SHOP-102764,17,3,585.79,113,335,2,United Kingdom,195.26333333333332,0.0
SHOP-102725,32,2,714.96,10,1312,2,United Kingdom,357.48,0.0
SHOP-101924,11,4,1006.8,55,1390,4,United Kingdom,251.70000000000002,0.0
SHOP-100729,7,5,1456.79,82,1544,5,United Kingdom,291.358,0.0
SHOP-101218,22,4,775.46,122,963,4,United Kingdom,193.86499999999998,0.0
SHOP-101210,8,9,1297.8700000000001,30,1137,9,United Kingdom,144.20777777777778,0.12962962962962962
SHOP-102488,309,2,693.3299999999999,26,211,1,Switzerland,346.66499999999996,0.07142857142857142
SHOP-101457,2,11,4196.01,42,1275,11,United Kingdom,381.4554545454546,0.0
SHOP-101856,4,7,2043.95,45,921,7,United Kingdom,291.99285714285713,0.015625
SHOP-101475,159,3,371.88,51,144,3,United Kingdom,123.96,0.0
SHOP-101241,4,6,1852.0,64,865,6,United Kingdom,308.6666666666667,0.02197802197802198
SHOP-100737,16,4,1572.71,40,772,4,United Kingdom,393.1775,0.13114754098360656
SHOP-101214,10,6,2474.33,48,1367,6,United Kingdom,412.3883333333333,0.008403361344537815
SHOP-100097,15,10,3738.4,68,2112,9,United Kingdom,373.84,0.05263157894736842
SHOP-100773,65,2,583.75,37,251,2,United Kingdom,291.875,0.0
SHOP-100329,81,2,810.5699999999999,44,488,2,United Kingdom,405.28499999999997,0.0
SHOP-102535,149,2,673.1,28,450,2,United Kingdom,336.55,0.0
SHOP-101773,41,7,2386.05,65,830,7,United Kingdom,340.86428571428576,0.010526315789473684
SHOP-102094,18,11,3214.69,257,3658,10,United Kingdom,292.24454545454546,0.015659955257270694
SHOP-101840,78,3,1122.41,69,669,3,United Kingdom,374.1366666666666,0.0
SHOP-102335,64,5,2100.6,33,1856,5,United Kingdom,420.12,0.0
SHOP-100118,8,9,4871.93,64,1663,6,United Kingdom,541.3255555555556,0.07407407407407407
SHOP-100146,2,6,2621.38,109,1398,6,United Kingdom,436.8966666666667,0.0
SHOP-102827,143,3,1121.59,57,778,3,United Kingdom,373.8633333333334,0.0
SHOP-100404,180,9,1653.42,127,544,8,United Kingdom,183.71333333333334,0.024896265560165973
SHOP-102029,40,2,1851.08,88,1181,2,United Kingdom,925.54,0.009523809523809525
SHOP-102648,51,11,2538.3,44,3134,9,United Kingdom,230.75454545454548,0.12686567164179105
SHOP-101147,72,2,567.36,10,372,2,United Kingdom,283.68,0.0
SHOP-100687,113,6,972.23,36,436,5,United Kingdom,162.03833333333333,0.019230769230769232
SHOP-101248,11,2,887.65,61,353,2,United Kingdom,443.82500000000005,0.0
SHOP-100241,8,4,1313.1,70,1506,4,Belgium,328.275,0.0
SHOP-102030,8,21,5630.87,148,3621,20,United Kingdom,268.13666666666666,0.08913649025069638
SHOP-101342,107,3,623.51,28,586,2,Germany,207.83666666666667,0.06060606060606061
SHOP-102498,1,12,4098.32,66,3882,12,United Kingdom,341.52666666666664,0.06060606060606061
SHOP-100131,34,4,1592.1200000000001,75,636,4,United Kingdom,398.03,0.03260869565217391
SHOP-102099,15,5,1551.78,63,1948,5,United Kingdom,310.356,0.0125
SHOP-101642,9,2,708.22,36,313,2,United Kingdom,354.11,0.046511627906976744
SHOP-101524,12,7,2962.5,26,1160,5,United Kingdom,423.2142857142857,0.18421052631578946
SHOP-102583,78,4,819.2900000000001,18,196,4,United Kingdom,204.8225,0.0
SHOP-101667,48,4,1701.94,221,1393,4,United Kingdom,425.485,0.0
SHOP-100364,335,2,545.48,21,295,2,Portugal,272.74,0.0
SHOP-100945,10,2,77.4,2,84,2,United Kingdom,38.7,0.0
SHOP-102343,40,2,541.53,33,443,2,United Kingdom,270.765,0.0
SHOP-101926,5,3,448.90000000000003,46,258,3,United Kingdom,149.63333333333333,0.038461538461538464
SHOP-102315,50,6,1068.82,97,721,5,United Kingdom,178.13666666666666,0.015384615384615385
SHOP-100278,71,4,800.24,33,407,4,United Kingdom,200.06,0.0
SHOP-101697,75,4,322.41,10,157,4,United Kingdom,80.60249999999999,0.0
SHOP-100691,87,2,285.74,24,228,2,United Kingdom,142.87,0.0
SHOP-100267,17,7,5014.84,218,3095,6,United Kingdom,716.4057142857143,0.03717472118959108
SHOP-100239,44,2,712.5,11,142,2,United Kingdom,356.25,0.0
SHOP-100406,3,8,2100.8,172,1988,7,United Kingdom,262.6,0.004484304932735426
SHOP-100265,212,2,2683.82,73,1612,2,Germany,1341.9099999999999,0.054945054945054944
SHOP-100699,93,2,877.4399999999999,4,1200,2,United Kingdom,438.71999999999997,0.0
SHOP-101061,16,8,1528.09,124,757,7,United Kingdom,191.01125000000002,0.03125
SHOP-100759,23,11,3995.23,415,3496,11,United Kingdom,363.20272727272726,0.002967359050445104
SHOP-100584,8,4,1286.07,66,795,3,United Kingdom,321.5175,0.013888888888888888
SHOP-100884,51,2,467.51,24,155,1,United Kingdom,233.755,0.1724137931034483
SHOP-101234,200,2,163.20000000000002,5,88,2,United Kingdom,81.60000000000001,0.0
SHOP-101815,25,2,578.9,20,194,2,United Kingdom,289.45000000000005,0.038461538461538464
SHOP-101529,130,3,605.64,25,348,2,United Kingdom,201.88,0.06666666666666667
SHOP-100441,82,7,3017.3,39,2518,5,United Kingdom,431.04285714285714,0.0
SHOP-102647,1,28,28882.44,156,15968,26,United Kingdom,1031.5157142857142,0.05454545454545454
SHOP-101090,53,3,173.74,11,150,3,United Kingdom,57.913333333333334,0.0
SHOP-100129,232,2,856.6,5,192,2,United Kingdom,428.30000000000007,0.14285714285714285
SHOP-100885,26,5,2976.15,315,2149,5,United Kingdom,595.23,0.0022522522522522522
SHOP-100674,10,18,6717.34,78,2646,18,United Kingdom,373.18555555555554,0.03076923076923077
SHOP-101471,52,6,3506.54,55,1802,4,United Kingdom,584.4233333333334,0.0
SHOP-101086,9,7,1620.93,191,1505,7,United Kingdom,231.5614285714286,0.0
SHOP-100033,19,3,582.6,25,545,3,United Kingdom,194.20000000000002,0.0
SHOP-102485,15,8,1659.3799999999999,63,892,8,United Kingdom,207.42249999999999,0.04854368932038835
SHOP-101303,12,4,800.59,27,267,3,United Kingdom,200.1475,0.12903225806451613
SHOP-101789,12,7,2791.35,29,861,7,United Kingdom,398.7642857142857,0.020833333333333332
SHOP-100622,18,4,827.83,37,360,4,United Kingdom,206.9575,0.0
SHOP-100158,8,5,2044.8700000000001,34,829,5,United Kingdom,408.974,0.07692307692307693
SHOP-101972,23,13,6403.25,155,2806,12,United Kingdom,492.5576923076923,0.005917159763313609
SHOP-101959,7,8,2340.84,64,1006,7,Finland,292.605,0.022222222222222223
SHOP-101652,3,3,758.29,27,461,3,United Kingdom,252.76333333333332,0.0
SHOP-102564,23,6,13219.74,191,3653,6,Germany,2203.29,0.025974025974025976
SHOP-102522,24,3,1413.66,80,1014,3,United Kingdom,471.22,0.03225806451612903
SHOP-101937,43,5,2048.07,81,1941,5,United Kingdom,409.61400000000003,0.025423728813559324
SHOP-101151,3,7,1319.9099999999999,68,673,7,United Kingdom,188.5585714285714,0.024390243902439025
SHOP-100747,44,2,348.1,39,292,2,United Kingdom,174.05,0.0
SHOP-101608,73,14,1836.0900000000001,72,882,11,United Kingdom,131.14928571428572,0.1417910447761194
SHOP-100018,18,9,1540.42,45,504,8,United Kingdom,171.1577777777778,0.0
SHOP-100695,24,3,478.78,29,323,3,United Kingdom,159.59333333333333,0.0
SHOP-100784,19,2,690.34,40,244,2,United Kingdom,345.17,0.046511627906976744
SHOP-100930,17,4,745.06,30,699,4,United Kingdom,186.265,0.0
SHOP-102380,78,4,1548.7,77,1096,3,United Kingdom,387.17499999999995,0.03636363636363636
SHOP-101581,370,2,155.43,25,67,1,United Kingdom,77.715,0.0
SHOP-100730,108,3,1624.21,66,1123,3,United Kingdom,541.4033333333333,0.0
SHOP-100066,42,4,2148.63,70,1778,4,United Kingdom,537.1575,0.017241379310344827
SHOP-100106,11,2,883.15,45,577,2,United Kingdom,441.575,0.0
SHOP-100942,7,2,266.39,15,129,2,United Kingdom,133.19500000000002,0.0
SHOP-102563,16,7,1246.1000000000001,63,707,7,France,178.01428571428573,0.08333333333333333
SHOP-101199,8,10,3692.28,95,1965,10,France,369.22799999999995,0.025510204081632654
SHOP-100646,100,3,1200.6200000000001,57,634,3,United Kingdom,400.20666666666665,0.0
SHOP-102594,41,5,499.41999999999996,33,268,5,United Kingdom,99.88399999999999,0.0
SHOP-102144,27,6,2043.7199999999998,32,1982,6,United Kingdom,340.62,0.0
SHOP-100966,4,2,353.65,41,277,2,United Kingdom,176.825,0.0
SHOP-100020,36,5,1740.48,26,1594,5,United Kingdom,348.096,0.0
SHOP-100088,10,4,1328.55,70,841,4,United Kingdom,332.1375,0.0
SHOP-100516,23,5,732.0699999999999,41,449,5,United Kingdom,146.414,0.0
SHOP-102487,75,3,1226.88,43,829,3,Denmark,408.96000000000004,0.0
SHOP-102258,17,2,364.72,12,284,2,United Kingdom,182.36,0.0
SHOP-101986,8,46,194550.79,124,69993,27,United Kingdom,4229.365,0.039886039886039885
SHOP-100807,281,5,1079.34,89,563,4,United Kingdom,215.86800000000002,0.027777777777777776
SHOP-100560,24,2,596.1,3,166,2,United Kingdom,298.05,0.0
SHOP-102299,20,2,639.89,103,545,2,United Kingdom,319.94500000000005,0.0
SHOP-100623,157,2,446.87,79,215,2,United Kingdom,223.435,0.0
SHOP-102572,21,5,5005.46,138,1153,5,Norway,1001.092,0.0
SHOP-101607,3,7,1341.6,8,1776,7,United Kingdom,191.65714285714284,0.023809523809523808
SHOP-101999,1,13,5900.28,283,3011,13,United Kingdom,453.8676923076924,0.03594771241830065
SHOP-101788,302,2,934.52,126,596,2,United Kingdom,467.26,0.019230769230769232
SHOP-101552,32,5,734.77,58,351,3,United Kingdom,146.954,0.1
SHOP-100150,94,4,1037.59,45,533,4,United Kingdom,259.3975,0.0
SHOP-102502,178,2,833.78,62,826,2,United Kingdom,416.89,0.0
SHOP-102712,65,2,388.25,19,155,2,United Kingdom,194.125,0.0
SHOP-100887,51,4,559.97,22,264,4,United Kingdom,139.9925,0.0
SHOP-102116,19,2,408.57,68,264,2,United Kingdom,204.285,0.0
SHOP-100845,1,28,17256.85,252,9474,21,United Kingdom,616.3160714285714,0.043731778425655975
SHOP-101521,47,4,3742.2,6,756,4,United Kingdom,935.55,0.08333333333333333
SHOP-101997,45,2,664.26,61,333,2,United Kingdom,332.13,0.0
SHOP-102653,3,10,2069.77,58,885,9,United Kingdom,206.977,0.008695652173913044
SHOP-100828,60,3,2128.42,125,1369,3,United Kingdom,709.4733333333334,0.013986013986013986
SHOP-101448,11,3,797.96,50,429,3,United Kingdom,265.9866666666667,0.0
SHOP-102663,85,3,1100.9,59,533,2,United Kingdom,366.9666666666667,0.0
SHOP-102190,101,3,455.59000000000003,11,361,3,United Kingdom,151.86333333333334,0.3333333333333333
SHOP-102526,26,2,289.99,15,237,2,United Kingdom,144.995,0.0
SHOP-101193,2,2,1168.06,13,248,2,Austria,584.03,0.0
SHOP-101784,109,2,167.61,16,92,1,United Kingdom,83.805,0.0
SHOP-100409,17,3,851.01,42,487,2,United Kingdom,283.67,0.0
SHOP-100422,91,2,671.96,22,272,2,United Kingdom,335.98,0.0
SHOP-102027,31,4,1324.84,59,644,4,United Kingdom,331.21,0.027777777777777776
SHOP-100982,4,8,2495.87,93,2325,8,United Kingdom,311.98375,0.03361344537815126
SHOP-101701,44,2,570.96,57,202,2,United Kingdom,285.48,0.0
SHOP-100013,63,2,395.8,38,150,2,United Kingdom,197.9,0.0
SHOP-102693,1,33,25977.16,36,12897,24,United Kingdom,787.1866666666666,0.1004566210045662
SHOP-100991,45,3,62.43,15,27,2,United Kingdom,20.81,0.0
SHOP-100639,113,2,612.06,26,686,2,United Kingdom,306.03,0.0
SHOP-101800,65,4,384.05,86,195,4,United Kingdom,96.0125,0.01020408163265306
SHOP-100700,3,25,5781.73,211,4672,21,Germany,231.26919999999998,0.013927576601671309
SHOP-102425,134,3,2515.84,55,1784,3,United Kingdom,838.6133333333333,0.0
SHOP-101423,6,4,1387.79,64,653,3,United Kingdom,346.9475,0.0125
SHOP-100994,28,3,1132.03,65,587,3,United Kingdom,377.3433333333333,0.06493506493506493
SHOP-101631,115,2,1339.45,25,346,2,United Kingdom,669.7250000000001,0.0
SHOP-101243,18,6,4597.02,52,3760,6,United Kingdom,766.1700000000001,0.03571428571428571
SHOP-101390,72,2,518.28,7,372,2,United Kingdom,259.14,0.0
SHOP-100776,70,2,1118.99,34,547,2,United Kingdom,559.495,0.0
SHOP-101093,28,6,1035.8,21,394,6,France,172.63333333333333,0.0
SHOP-101347,24,6,3858.38,176,1866,6,United Kingdom,643.0633333333334,0.15677966101694915
SHOP-100965,20,3,1501.38,51,618,3,United Kingdom,500.46000000000004,0.0
SHOP-100907,50,2,363.34000000000003,16,228,2,United Kingdom,181.67000000000002,0.0
SHOP-101948,23,17,5528.4800000000005,220,3387,13,United Kingdom,325.2047058823529,0.019543973941368076
SHOP-102645,139,4,3006.15,53,1119,4,United Kingdom,751.5375,0.01834862385321101
SHOP-100060,4,2,303.75,15,187,2,United Kingdom,151.875,0.0
SHOP-100181,26,7,2314.32,65,1084,4,United Kingdom,330.6171428571429,0.24503311258278146
SHOP-101911,139,3,644.3,11,372,3,United Kingdom,214.76666666666665,0.0
SHOP-100880,39,3,1445.0,14,1170,3,United Kingdom,481.6666666666667,0.0
SHOP-100026,185,4,518.67,18,266,4,United Kingdom,129.6675,0.038461538461538464
SHOP-102735,134,2,408.36,63,249,2,United Kingdom,204.18,0.0
SHOP-100196,79,3,1324.5,95,627,3,United Kingdom,441.5,0.043478260869565216
SHOP-100786,8,6,1281.56,80,522,6,United Kingdom,213.59333333333333,0.0
SHOP-100817,32,2,789.0,16,463,2,United Kingdom,394.5,0.10526315789473684
SHOP-100521,67,3,758.1,29,286,3,France,252.70000000000002,0.05
SHOP-100722,212,2,1522.75,88,855,2,United Kingdom,761.375,0.0
SHOP-100854,199,5,1143.27,33,365,4,United Kingdom,228.654,0.0
SHOP-102148,217,2,309.36,57,169,2,United Kingdom,154.68,0.0
SHOP-100628,227,2,1998.0,4,840,2,United Kingdom,999.0,0.0
SHOP-102561,9,6,621.6800000000001,46,132,6,United Kingdom,103.61333333333334,0.0
SHOP-100332,3,3,1126.37,25,621,3,United Kingdom,375.45666666666665,0.034482758620689655
SHOP-101702,66,3,689.4799999999999,11,544,3,United Kingdom,229.82666666666668,0.1111111111111111
SHOP-101750,145,2,385.64,51,153,2,United Kingdom,192.82,0.0
SHOP-100217,22,12,3722.82,78,1431,11,Germany,310.23499999999996,0.046875
SHOP-100649,45,2,1186.35,57,800,2,United Kingdom,593.175,0.01639344262295082
SHOP-102397,30,10,2760.56,136,3096,10,United Kingdom,276.056,0.0
SHOP-100793,7,6,1429.64,30,558,6,United Kingdom,238.27333333333334,0.0
SHOP-101461,8,6,1826.21,239,1234,6,United Kingdom,304.36833333333334,0.0
SHOP-101187,205,2,468.77000000000004,43,279,2,United Kingdom,234.38500000000002,0.0
SHOP-100337,1,5,975.36,32,1620,5,United Kingdom,195.072,0.06976744186046512
SHOP-101637,141,3,207.73999999999998,10,60,3,United Kingdom,69.24666666666666,0.0
SHOP-102655,49,10,4106.4400000000005,6,9755,9,United Kingdom,410.64400000000006,0.17391304347826086
SHOP-101812,4,16,2094.88,263,1397,14,United Kingdom,130.93,0.0
SHOP-100084,8,6,2179.93,155,1079,6,United Kingdom,363.32166666666666,0.00946372239747634
SHOP-100866,115,3,653.38,30,310,3,United Kingdom,217.79333333333332,0.0
SHOP-102754,30,3,2575.0,59,1306,3,United Kingdom,858.3333333333334,0.0
SHOP-102025,13,8,4801.56,278,4777,7,United Kingdom,600.195,0.0
SHOP-101284,16,12,5411.91,46,2057,10,United Kingdom,450.9925,0.046875
SHOP-102407,22,5,1197.27,68,755,4,United Kingdom,239.454,0.05333333333333334
SHOP-100130,17,4,1614.91,77,1759,4,United Kingdom,403.7275,0.0
SHOP-101604,40,5,2178.67,78,1280,4,United Kingdom,435.73400000000004,0.052083333333333336
SHOP-100271,115,3,817.86,37,628,3,United Kingdom,272.62,0.03773584905660377
SHOP-102055,174,3,571.1999999999999,1,224,3,United Kingdom,190.39999999999998,0.0
SHOP-102467,247,2,632.4,21,272,2,United Kingdom,316.20000000000005,0.0
SHOP-100180,16,5,1214.72,57,616,5,United Kingdom,242.94400000000002,0.0
SHOP-101852,42,3,837.1,51,402,3,United Kingdom,279.03333333333336,0.2972972972972973
SHOP-102810,47,3,1421.61,37,1037,3,United Kingdom,473.86999999999995,0.029411764705882353
SHOP-101620,92,7,1496.98,79,2512,7,United Kingdom,213.8542857142857,0.01020408163265306
SHOP-102247,75,3,371.62,19,266,3,United Kingdom,123.87333333333333,0.10714285714285714
SHOP-100856,1,8,1859.31,97,1339,8,Belgium,232.41375,0.007936507936507936
SHOP-101974,66,8,1702.26,69,781,8,United Kingdom,212.7825,0.046296296296296294
SHOP-100897,3,18,3482.7400000000002,52,2154,18,United Kingdom,193.48555555555558,0.0
SHOP-102308,5,3,2134.01,91,1110,3,Germany,711.3366666666667,0.05405405405405406
SHOP-102627,4,2,1053.49,60,708,2,France,526.745,0.0
SHOP-102571,4,16,4113.68,142,2927,9,United Kingdom,257.105,0.02702702702702703
SHOP-100530,71,4,987.86,47,763,4,United Kingdom,246.965,0.0
SHOP-100875,9,8,4485.72,113,3699,8,Germany,560.7149999999999,0.0
SHOP-100221,16,6,2780.66,57,1462,6,Australia,463.4433333333333,0.0
SHOP-102372,7,7,3515.68,8,2724,7,United Kingdom,502.23999999999995,0.0
SHOP-100231,148,3,2103.06,173,766,3,United Kingdom,701.02,0.0
SHOP-102213,10,10,1661.33,105,920,7,United Kingdom,166.13299999999998,0.0
SHOP-102322,33,2,1511.95,81,1793,2,United Kingdom,755.975,0.0
SHOP-101735,16,4,258.4,5,176,4,United Kingdom,64.6,0.0
SHOP-101813,170,2,214.06,12,146,2,United Kingdom,107.03,0.0
SHOP-100670,3,26,12627.94,95,5630,25,United Kingdom,485.69,0.05789473684210526
SHOP-100432,7,22,2237.77,39,1260,20,United Kingdom,101.71681818181818,0.02631578947368421
SHOP-102201,32,10,3237.54,106,1391,8,United Kingdom,323.754,0.12244897959183673
SHOP-100753,1,2,984.57,42,483,2,United Kingdom,492.28499999999997,0.0
SHOP-100891,4,9,2616.38,101,1352,8,United Kingdom,290.7088888888889,0.022388059701492536
SHOP-101912,28,4,3281.63,129,1707,4,Germany,820.4075,0.0
SHOP-101300,100,8,10254.18,90,5867,7,United Kingdom,1281.7725,0.07954545454545454
SHOP-101282,37,9,1199.01,51,736,9,United Kingdom,133.22333333333333,0.0
SHOP-100143,22,3,468.41,37,229,3,United Kingdom,156.13666666666666,0.041666666666666664
SHOP-100709,218,2,3251.071,120,1431,2,United Kingdom,1625.5355,0.007246376811594203
SHOP-102651,12,10,3174.32,292,1742,10,United Kingdom,317.43199999999996,0.009157509157509158
SHOP-101348,191,2,334.23,33,153,2,United Kingdom,167.115,0.0
SHOP-101085,9,9,12669.98,58,7100,8,United Kingdom,1407.7755555555555,0.008928571428571428
SHOP-100627,18,4,1352.75,37,648,4,United Kingdom,338.1875,0.0
SHOP-102639,3,5,987.1,40,622,5,United Kingdom,197.42,0.0
SHOP-100634,152,2,282.59999999999997,11,214,2,United Kingdom,141.3,0.0
SHOP-100605,6,5,1052.55,243,792,5,United Kingdom,210.51,0.0
SHOP-100128,12,19,7247.61,313,3417,17,United Kingdom,381.4531578947368,0.034482758620689655
SHOP-102529,19,2,214.65,41,132,2,United Kingdom,107.325,0.0
SHOP-101273,108,3,423.72,40,186,3,United Kingdom,141.24,0.0
SHOP-100540,26,2,398.27,57,272,2,France,199.135,0.0
SHOP-100890,29,3,939.78,43,1008,3,United Kingdom,313.26,0.01694915254237288
SHOP-102105,40,2,251.87,11,165,2,United Kingdom,125.935,0.0
SHOP-102765,50,2,1070.65,68,642,2,United Kingdom,535.325,0.0
SHOP-102558,2,11,9068.26,28,4252,10,United Kingdom,824.3872727272727,0.011111111111111112
SHOP-101145,12,5,2919.81,55,1749,2,United Kingdom,583.962,0.0
SHOP-100457,162,2,1145.84,48,556,2,United Kingdom,572.9200000000001,0.0
SHOP-101469,3,5,1662.3,17,670,5,United Kingdom,332.46,0.0
