property_id,dwelling_type,zoning,lot_frontage_ft,lot_area_sqft,lot_shape,neighborhood,building_type,house_style,overall_quality,overall_condition,year_built,year_remodeled,exterior_quality,foundation,basement_quality,basement_sqft,central_air,living_area_sqft,full_bathrooms,bedrooms,kitchen_quality,fireplaces,garage_type,garage_capacity,deck_sqft,sale_month,sale_year,sale_price
HOME-101241,60,RL,70.0,10457,IR1,Mitchel,1Fam,2Story,5,7,1969,1969,Gd,CBlock,TA,784.0,Y,1632,1,4,TA,1,Attchd,2.0,0,4,2009,180080
HOME-101233,120,RL,34.0,4590,Reg,NridgHt,Twnhs,1Story,8,5,2006,2006,Gd,PConc,Gd,1554.0,Y,1554,2,2,Gd,1,Attchd,2.0,156,8,2007,227030
HOME-101738,70,RL,63.0,15576,Reg,Crawfor,1Fam,2Story,6,7,1915,1976,TA,BrkTil,Gd,840.0,Y,1680,2,4,TA,0,Attchd,1.0,0,3,2008,183401
HOME-101775,20,RL,69.0,14850,IR1,NAmes,1Fam,1Story,5,5,1957,1957,TA,CBlock,TA,1092.0,Y,1092,1,2,TA,1,Attchd,1.0,268,5,2006,157503
HOME-100747,20,RL,,11327,IR1,Sawyer,1Fam,1Story,5,6,1967,1967,TA,CBlock,TA,1064.0,Y,1064,1,3,TA,1,Attchd,2.0,314,6,2006,166232
HOME-100675,120,RL,53.0,4043,Reg,NPkVill,TwnhsE,1Story,6,6,1977,1977,TA,CBlock,Gd,1069.0,Y,1069,2,2,TA,0,Attchd,2.0,0,10,2008,150460
HOME-101287,60,RL,121.0,16059,Reg,NoRidge,1Fam,2Story,8,5,1991,1992,Gd,CBlock,Gd,1288.0,Y,2417,2,4,Gd,1,Attchd,2.0,127,4,2006,279532
HOME-100943,20,RL,80.0,9600,Reg,NAmes,1Fam,1Story,5,6,1956,1956,TA,CBlock,TA,1050.0,Y,1050,1,2,TA,0,Attchd,1.0,0,6,2009,132813
HOME-101695,70,RL,75.0,13125,Reg,Crawfor,1Fam,2Story,7,6,1940,1984,TA,CBlock,TA,800.0,Y,1740,1,3,TA,2,Attchd,1.0,0,7,2007,241086
HOME-102684,45,RM,40.0,5680,Reg,OldTown,1Fam,1.5Fin,5,4,1901,1950,TA,CBlock,TA,592.0,N,1173,2,3,TA,0,Detchd,1.0,0,9,2007,121289
HOME-100201,60,RL,96.0,10628,IR1,SawyerW,1Fam,2Story,7,5,2004,2004,Gd,PConc,Gd,835.0,Y,1812,2,3,Gd,0,BuiltIn,2.0,146,1,2009,197675
HOME-102729,30,RL,60.0,5400,Reg,OldTown,1Fam,1Story,4,7,1940,2005,Gd,PConc,TA,672.0,Y,672,1,2,TA,0,Detchd,1.0,88,7,2008,92318
HOME-102826,60,RL,80.0,12435,Reg,CollgCr,1Fam,2Story,7,5,2001,2001,Gd,PConc,Gd,963.0,Y,1792,2,3,Gd,1,Attchd,2.0,0,5,2008,247156
HOME-100410,20,RL,70.0,8092,Reg,NAmes,1Fam,1Story,6,8,1954,2000,TA,CBlock,TA,1050.0,Y,1050,1,3,Gd,0,Attchd,1.0,0,6,2006,172069
HOME-101806,20,RL,65.0,7150,Reg,NAmes,1Fam,1Story,5,6,1966,1966,TA,CBlock,TA,988.0,Y,988,1,3,TA,0,Detchd,1.0,0,11,2007,136046
HOME-100428,90,RL,60.0,7200,Reg,NAmes,Duplex,1Story,4,5,1949,1950,TA,Slab,,0.0,N,1040,2,2,TA,0,Detchd,2.0,0,6,2009,92454
HOME-100258,20,RL,87.0,11146,IR1,NridgHt,1Fam,1Story,8,5,2006,2006,Gd,PConc,Ex,1709.0,Y,1717,2,3,Gd,1,Attchd,3.0,169,7,2009,261253
HOME-102123,80,RL,82.0,9020,Reg,NAmes,1Fam,SLvl,6,7,1966,1966,TA,CBlock,TA,1127.0,Y,1165,1,3,TA,0,Attchd,2.0,0,5,2008,187771
HOME-102590,75,RL,84.0,9660,Reg,NoRidge,1Fam,2.5Unf,8,5,1997,1997,Gd,PConc,Gd,1173.0,Y,2199,2,3,Gd,1,Attchd,2.0,0,9,2008,290648
HOME-102312,60,RL,57.0,8773,IR1,Gilbert,1Fam,2Story,6,5,1997,1997,TA,PConc,Gd,916.0,Y,1600,2,3,TA,1,Attchd,2.0,100,8,2007,181731
HOME-100944,60,RL,74.0,7844,Reg,Sawyer,1Fam,2Story,6,7,1978,1978,TA,CBlock,TA,672.0,Y,1400,1,3,TA,1,Attchd,2.0,0,3,2006,160939
HOME-100649,45,RM,50.0,5000,Reg,BrkSide,1Fam,1.5Unf,6,7,1926,1950,TA,BrkTil,TA,992.0,Y,1013,1,3,TA,0,Detchd,1.0,0,4,2008,120936
HOME-101193,160,FV,24.0,2280,Reg,Somerst,Twnhs,2Story,6,5,1999,1999,TA,PConc,Gd,744.0,Y,1549,2,3,TA,0,Detchd,2.0,0,4,2008,178501
HOME-100768,50,RL,50.0,5190,Reg,Edwards,1Fam,1.5Fin,7,5,1948,1950,TA,CBlock,TA,570.0,Y,1079,1,2,TA,1,Attchd,1.0,135,1,2008,134580
HOME-101576,60,RL,68.0,10110,Reg,SawyerW,1Fam,2Story,6,5,2003,2003,Gd,PConc,Gd,835.0,Y,1696,2,3,Gd,0,Attchd,2.0,143,7,2008,199603
HOME-101626,60,RL,,11029,IR1,NWAmes,1Fam,2Story,6,7,1968,1984,TA,CBlock,TA,1054.0,Y,2654,2,4,Gd,1,Attchd,2.0,0,8,2006,274024
HOME-100333,50,RL,81.0,15593,Reg,ClearCr,1Fam,1.5Fin,7,4,1953,1953,Gd,CBlock,TA,1304.0,Y,2287,2,3,TA,1,Attchd,2.0,0,7,2006,251392
HOME-100007,20,RL,,20693,IR1,Crawfor,1Fam,1Story,7,5,1971,1971,TA,CBlock,Gd,1696.0,Y,1696,2,3,TA,2,Attchd,2.0,0,2,2007,216559
HOME-100067,20,RL,,16635,IR1,NWAmes,1Fam,1Story,6,7,1977,2000,Gd,CBlock,Gd,1602.0,Y,1602,2,3,Gd,1,Attchd,2.0,240,6,2009,223749
HOME-102525,50,RL,62.0,8707,Reg,Edwards,1Fam,1.5Fin,4,5,1924,1950,TA,BrkTil,TA,1093.0,N,1669,1,4,TA,0,Attchd,1.0,0,5,2006,119076
HOME-101578,30,RL,56.0,4060,Reg,Edwards,1Fam,1Story,5,8,1922,1950,TA,PConc,Fa,864.0,Y,864,1,2,TA,0,,0.0,0,7,2009,102248
HOME-100774,60,RL,168.0,23257,IR3,Gilbert,1Fam,2Story,7,5,2006,2006,Gd,PConc,Ex,868.0,Y,2021,2,3,Gd,1,BuiltIn,2.0,0,9,2006,302906
HOME-100493,160,FV,30.0,3180,Reg,Somerst,TwnhsE,2Story,7,5,2005,2005,TA,PConc,Gd,600.0,Y,1200,2,2,Gd,0,Detchd,2.0,0,6,2006,163264
HOME-102488,20,RL,74.0,12395,Reg,Mitchel,1Fam,1Story,5,6,1984,1984,TA,CBlock,TA,864.0,Y,889,1,3,TA,0,Attchd,2.0,0,4,2008,147473
HOME-102193,180,RM,,1533,Reg,MeadowV,Twnhs,SLvl,4,5,1970,1970,TA,CBlock,Gd,530.0,Y,992,1,2,TA,0,BuiltIn,1.0,112,7,2007,114743
HOME-100325,50,RL,70.0,12392,Reg,Crawfor,1Fam,1.5Fin,7,9,1950,2000,TA,CBlock,TA,832.0,Y,2161,2,3,Gd,2,Attchd,2.0,0,4,2008,285151
HOME-100358,20,RL,79.0,10240,Reg,NWAmes,1Fam,1Story,6,6,1980,1980,TA,CBlock,Gd,1686.0,Y,1686,2,3,TA,1,Attchd,2.0,384,5,2006,227122
HOME-101325,190,RM,33.0,4456,Reg,OldTown,2fmCon,2Story,4,5,1920,2008,TA,BrkTil,TA,736.0,Y,1452,2,2,TA,0,,0.0,0,6,2009,117116
HOME-100984,90,RL,75.0,8604,IR1,NAmes,Duplex,SFoyer,5,7,1978,1978,TA,CBlock,Gd,941.0,Y,941,1,2,Gd,0,Attchd,2.0,0,11,2009,150873
HOME-102344,60,RL,75.0,11404,IR1,CollgCr,1Fam,2Story,7,5,1998,1999,Gd,PConc,Gd,1153.0,Y,2031,2,3,Gd,1,Attchd,2.0,192,7,2008,232860
HOME-101259,20,RL,53.0,15401,IR1,StoneBr,1Fam,1Story,9,5,2004,2004,Ex,PConc,Ex,1884.0,Y,1884,2,2,Ex,1,Attchd,3.0,214,9,2008,408621
HOME-100019,80,RL,70.0,12886,IR1,Sawyer,1Fam,SLvl,5,6,1963,1999,TA,CBlock,Gd,520.0,Y,1464,2,3,TA,1,Attchd,2.0,302,10,2009,180805
HOME-102306,20,RL,74.0,9612,Reg,Somerst,1Fam,1Story,8,5,2008,2009,Gd,PConc,Gd,1468.0,Y,1468,2,3,Gd,1,Attchd,3.0,210,12,2009,253448
HOME-101202,90,RL,64.0,7018,Reg,SawyerW,Duplex,2Story,5,5,1979,1979,TA,Slab,,0.0,Y,2228,2,6,TA,0,Detchd,2.0,73,6,2009,150997
HOME-100467,20,RL,61.0,8800,IR1,CollgCr,1Fam,1Story,5,7,1977,2008,TA,CBlock,Gd,1040.0,Y,1040,2,3,Gd,0,Detchd,2.0,0,9,2009,155649
HOME-102489,20,RL,79.0,10634,Reg,NAmes,1Fam,1Story,5,6,1953,1953,TA,PConc,TA,608.0,Y,1319,1,3,TA,0,Attchd,1.0,66,11,2009,127042
HOME-100049,90,RL,76.0,9482,Reg,NAmes,Duplex,1Story,5,4,1958,1958,TA,PConc,TA,1866.0,Y,1866,2,4,TA,0,Detchd,2.0,0,12,2009,140948
HOME-101033,60,RL,,13250,IR1,NWAmes,1Fam,2Story,7,6,1978,1978,TA,CBlock,Gd,832.0,Y,2050,2,4,Gd,1,Attchd,2.0,192,5,2009,159048
HOME-101885,60,RL,60.0,6931,Reg,Edwards,1Fam,2Story,7,5,2003,2004,Gd,PConc,Gd,746.0,Y,1656,2,3,Gd,1,BuiltIn,2.0,178,7,2008,170930
HOME-102390,20,RL,72.0,9770,Reg,NAmes,1Fam,1Story,5,5,1957,1957,TA,CBlock,TA,922.0,Y,922,1,2,TA,0,Attchd,1.0,0,4,2007,125427
HOME-101541,20,RL,73.0,8925,IR1,Timber,1Fam,1Story,8,5,2007,2007,Gd,PConc,Gd,1466.0,Y,1466,2,3,Gd,0,Attchd,3.0,100,7,2009,205883
HOME-102425,80,RL,55.0,7700,Reg,NAmes,1Fam,SLvl,5,7,1956,1956,TA,CBlock,Gd,301.0,Y,1145,1,3,TA,0,Detchd,2.0,0,9,2006,138428
HOME-100986,70,RM,60.0,6402,Reg,IDOTRR,1Fam,2Story,5,5,1920,1950,TA,PConc,TA,596.0,N,1192,1,3,TA,0,Detchd,1.0,0,7,2009,80012
HOME-101760,80,RL,62.0,7750,Reg,Gilbert,1Fam,SLvl,7,5,1999,2000,TA,PConc,Gd,384.0,Y,1430,2,3,TA,1,BuiltIn,2.0,0,3,2009,162330
HOME-100890,50,RL,60.0,14190,Reg,OldTown,1Fam,1.5Fin,4,7,1890,2006,Gd,CBlock,Fa,925.0,Y,1544,2,3,TA,0,,0.0,231,4,2007,146571
HOME-101160,80,RL,80.0,8000,Reg,NAmes,1Fam,SLvl,5,5,1959,1959,TA,CBlock,Gd,528.0,Y,1183,1,3,TA,0,Attchd,1.0,0,7,2009,143668
HOME-100180,70,RM,60.0,6882,Reg,IDOTRR,1Fam,2Story,6,7,1914,2006,TA,PConc,TA,684.0,Y,1355,1,3,Gd,0,,0.0,136,3,2007,138238
HOME-101623,60,FV,72.0,8640,Reg,Somerst,1Fam,2Story,8,5,2007,2007,Gd,PConc,Gd,896.0,Y,1792,2,3,Gd,0,Attchd,2.0,184,11,2007,272916
HOME-100104,20,RL,76.0,8243,IR1,NAmes,1Fam,1Story,5,7,1961,1961,TA,CBlock,TA,964.0,Y,964,1,3,TA,1,Detchd,2.0,170,2,2007,148348
HOME-101733,20,RL,76.0,11355,IR1,NAmes,1Fam,1Story,7,7,1958,2001,TA,CBlock,TA,1312.0,Y,1312,1,3,TA,1,Attchd,2.0,0,4,2008,196163
HOME-102545,90,RL,67.0,8777,Reg,Edwards,Duplex,1.5Fin,5,7,1900,2003,TA,CBlock,TA,1272.0,Y,2200,2,4,TA,0,,0.0,0,9,2008,151204
HOME-102387,85,RL,75.0,11235,Reg,Sawyer,1Fam,SFoyer,5,5,1964,1980,TA,CBlock,Gd,1420.0,Y,1452,1,2,TA,1,Detchd,2.0,92,11,2007,169335
HOME-100844,20,RL,56.0,26073,IR1,Crawfor,1Fam,1Story,5,5,1956,1956,TA,PConc,TA,1898.0,Y,1898,2,3,TA,2,Attchd,2.0,0,4,2008,253061
HOME-101448,60,RL,80.0,9600,Reg,NWAmes,1Fam,2Story,7,5,1974,1974,TA,CBlock,TA,1165.0,Y,2061,2,4,TA,1,Attchd,2.0,0,5,2009,170686
HOME-101742,20,RL,82.0,9888,Reg,NAmes,1Fam,1Story,5,6,1954,1975,TA,CBlock,TA,936.0,Y,936,1,2,TA,0,Attchd,1.0,0,3,2006,132665
HOME-102665,50,RL,55.0,7264,Reg,BrkSide,1Fam,1.5Fin,7,7,1925,2007,Gd,BrkTil,TA,952.0,N,1548,2,3,Ex,0,Detchd,2.0,74,10,2009,212822
HOME-102789,20,RL,60.0,11556,Reg,NAmes,1Fam,1Story,5,9,1953,2006,TA,CBlock,TA,864.0,Y,1154,1,3,Ex,0,Detchd,1.0,63,7,2007,155473
HOME-102837,60,RL,85.0,10560,Reg,SawyerW,1Fam,2Story,7,5,1993,1994,Gd,PConc,Gd,1079.0,Y,1879,2,3,Gd,1,Attchd,2.0,400,8,2009,248188
HOME-101942,60,RL,90.0,11250,Reg,CollgCr,1Fam,2Story,7,5,1995,1996,Gd,PConc,Gd,930.0,Y,1995,2,4,Gd,1,Attchd,2.0,275,7,2006,260766
HOME-100996,60,RL,63.0,8199,Reg,CollgCr,1Fam,2Story,7,5,2005,2005,Gd,PConc,Gd,728.0,Y,1456,2,3,Gd,1,Attchd,2.0,36,10,2008,199207
HOME-100290,160,RL,24.0,2289,Reg,NPkVill,Twnhs,2Story,6,6,1978,1978,TA,CBlock,TA,855.0,Y,1441,2,3,TA,1,Attchd,2.0,28,4,2009,156027
HOME-101546,120,RL,47.0,6904,IR1,NridgHt,TwnhsE,1Story,6,5,2005,2005,Gd,PConc,Gd,1358.0,Y,1358,2,2,Gd,1,Attchd,2.0,192,8,2009,213672
HOME-102046,60,RL,62.0,8244,IR1,Gilbert,1Fam,2Story,7,5,2004,2004,Gd,PConc,Gd,840.0,Y,1720,2,3,Gd,1,Attchd,2.0,100,5,2007,204445
HOME-100828,120,RL,22.0,11064,IR2,Veenker,TwnhsE,1Story,8,5,1995,1995,Gd,PConc,Gd,1230.0,Y,1239,1,1,Gd,1,Attchd,2.0,172,8,2008,233800
HOME-101519,20,RL,70.0,11767,Reg,Edwards,1Fam,1Story,5,5,1950,1950,TA,CBlock,Fa,1078.0,Y,1368,1,3,TA,0,Attchd,1.0,0,6,2009,125998
HOME-101981,90,RL,,11500,IR1,NWAmes,Duplex,1Story,5,6,1976,1976,TA,CBlock,TA,1680.0,Y,1680,2,4,TA,0,Detchd,2.0,0,6,2007,145873
HOME-101031,20,RL,67.0,9808,IR1,CollgCr,1Fam,1Story,7,5,2002,2002,Gd,PConc,Gd,1573.0,Y,1573,2,3,Gd,0,Attchd,2.0,0,3,2009,230390
HOME-102782,20,RL,53.0,3710,Reg,Blmngtn,1Fam,1Story,7,5,2007,2008,Gd,PConc,Gd,1146.0,Y,1246,2,2,Gd,1,Attchd,2.0,100,3,2008,201349
HOME-102493,120,RL,60.0,8118,Reg,StoneBr,TwnhsE,1Story,9,5,2007,2007,Ex,PConc,Ex,1710.0,Y,1710,2,2,Ex,1,Attchd,2.0,156,7,2008,357783
HOME-101088,120,RL,34.0,3901,Reg,NridgHt,Twnhs,1Story,6,5,2005,2006,Gd,PConc,Gd,1302.0,Y,1302,1,1,Gd,1,Attchd,2.0,110,8,2007,221047
HOME-101624,90,RL,,8544,Reg,NAmes,Duplex,1Story,3,4,1949,1950,TA,Slab,,0.0,N,1040,2,2,TA,0,Detchd,2.0,0,5,2006,95771
HOME-100862,60,RL,,12394,IR1,Gilbert,1Fam,2Story,7,5,2003,2003,Gd,PConc,Gd,847.0,Y,1733,2,3,Gd,1,BuiltIn,2.0,100,10,2007,244144
HOME-101553,20,RL,200.0,43500,Reg,Mitchel,1Fam,1Story,3,5,1953,1953,TA,CBlock,,0.0,Y,2034,1,2,TA,0,2Types,4.0,483,6,2007,141531
HOME-100545,60,RL,61.0,11339,IR1,NWAmes,1Fam,2Story,7,5,1979,1979,TA,CBlock,Gd,780.0,Y,1930,2,4,Gd,1,Attchd,2.0,192,3,2007,206115
HOME-101369,20,RL,100.0,21750,Reg,Mitchel,1Fam,1Story,5,4,1960,2006,TA,Slab,,0.0,Y,1771,1,3,TA,1,Attchd,2.0,0,11,2009,117484
HOME-101861,20,RL,,7000,IR1,CollgCr,1Fam,1Story,5,8,1978,2005,Gd,CBlock,TA,864.0,Y,864,1,3,TA,0,Attchd,1.0,0,7,2009,143011
HOME-100631,20,RL,,25485,IR1,Crawfor,1Fam,1Story,6,4,1960,1960,TA,CBlock,TA,1560.0,Y,1560,1,3,TA,3,Attchd,2.0,0,5,2007,218417
HOME-102050,20,RL,54.0,13811,IR1,Timber,1Fam,1Story,6,6,1987,1987,TA,CBlock,Gd,1112.0,Y,1137,2,2,Gd,1,Attchd,2.0,125,7,2006,193551
HOME-100346,20,RL,91.0,10437,IR1,NoRidge,1Fam,1Story,8,6,1995,1995,Gd,PConc,Gd,2109.0,Y,2113,2,2,Gd,1,Attchd,3.0,236,8,2008,373350
HOME-102435,120,RM,,4426,Reg,CollgCr,TwnhsE,1Story,6,5,2004,2004,Gd,PConc,Gd,848.0,Y,848,1,1,Gd,1,Attchd,2.0,149,5,2008,160032
HOME-102508,160,RM,21.0,1680,Reg,BrDale,Twnhs,2Story,6,5,1972,1972,TA,CBlock,TA,525.0,Y,1092,1,3,TA,0,Detchd,1.0,352,10,2006,117218
HOME-101346,20,RL,65.0,8769,Reg,CollgCr,1Fam,1Story,7,5,2005,2005,Gd,PConc,Gd,1169.0,Y,1190,2,2,Gd,0,Attchd,2.0,100,10,2007,187904
HOME-100475,60,RL,71.0,7056,Reg,NAmes,1Fam,2Story,6,5,1963,1963,TA,CBlock,TA,780.0,Y,1796,1,4,TA,1,Attchd,2.0,0,10,2008,148815
HOME-101947,60,RL,74.0,10141,IR1,Gilbert,1Fam,2Story,7,5,1998,1998,TA,PConc,Gd,832.0,Y,1718,2,3,TA,1,Attchd,2.0,0,12,2009,189972
